feature,coef,abs_coef
dow,-0.2419797732814747,0.2419797732814747
is_weekend,0.186394089557107,0.186394089557107
load_lag24,0.15057195368440315,0.15057195368440315
rain_lag48,-0.14234230615639687,0.14234230615639687
rain_lag168,0.10631785922038373,0.10631785922038373
load_lag168,0.10352094036762467,0.10352094036762467
rain_roll24_lag24,0.09489465204934779,0.09489465204934779
outage_lag24,0.08318569517694113,0.08318569517694113
humidity_lag24,-0.08144859444723421,0.08144859444723421
hour,0.07052811853277975,0.07052811853277975
load_diff_24_168,0.06682554852211448,0.06682554852211448
wind_lag24,-0.04614763751456018,0.04614763751456018
rain_lag24,-0.04483913928111241,0.04483913928111241
load_lag48,0.02101250279849343,0.02101250279849343
outage_rate_samehour_prev7d,-0.017311646539873334,0.017311646539873334
temp_lag24,-0.016353662368821693,0.016353662368821693
duration_lag24,0.014341916617589922,0.014341916617589922
